Designator,Footprint,Quantity,Value,LCSC Part #
"UJ6, UJ7, UJ8, UJ9",SOIC-20W_7.5x12.8mm_P1.27mm,4,74F245,
UK2,PLCC-84,1,~,
"UM10, UM11, UM12, UM9",DIP-32_W15.24mm,4,27C010,
Y1,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,16.9344Mhz,
Y2,Oscillator_DIP-14,1,30.240Mhz,
Y3,Oscillator_DIP-14,1,57.2832Mhz,
Y4,Oscillator_DIP-14,1,31.3344Mhz,
Y5,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,32.768Khz,
Y6,Oscillator_DIP-14,1,50.000Mhz,
Y7,Oscillator_DIP-14,1,40.000.Mhz,
Y8,Crystal_HC49-U_Vertical,1,16Mhz,
"ZF1, ZF2, ZF3",Fuse_TH,3,0.9A,
ZL1,L_Pack_SMD,1,L_Pack04,
